measure,element,min,max,mean,median,sd
X19,19,0.003014609,1,0.21838061373333334,0.15916363900000002,0.2349727391085991
X19,2060,0,1,0.20519440366666666,0.13922470450000002,0.23579101517392945
X19,6100,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X19,6105,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X19,6110,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X19,6115,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X19,6120,0,1,0.1140883761,0,0.2146003022273621
X19,6125,0,1,0.1140883761,0,0.2146003022273621
X19,6130,0,1,0.053968254,0,0.18505560142772604
X19,6135,0,1,0.053968254,0,0.18505560142772604
X19,6140,0,1,0.0762318841,0.039130435,0.17805683036906422
X19,6145,0,1,0.0762318841,0.039130435,0.17805683036906422
X19,6150,0,1,0.16467026756666667,8.364805000000001e-4,0.281911216079471
X19,6155,0,1,0.16467026756666667,8.364805000000001e-4,0.281911216079471
X19,6160,0.002770083,1,0.2719657330333333,0.1623576485,0.284493351242882
X19,6165,0.002770083,1,0.2719657330333333,0.1623576485,0.284493351242882
X19,6200,0,1,0.10992369233333334,0,0.24197356417526583
X19,6205,0,1,0.10992369233333334,0,0.24197356417526583
X19,6265,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X19,6270,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X19,6275,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X19,6280,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X19,6285,0,1,0.0805063032,0.008513236,0.20027909831188276
X19,6290,0,1,0.0805063032,0.008513236,0.20027909831188276
X19,6325,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X19,6350,0,1,0.08169741696666666,1.419245e-4,0.23878677011832158
X19,6355,0,1,0.08169741696666666,1.419245e-4,0.23878677011832158
X19,6400,0,1,0.0622881356,0.020416025,0.18014245093904044
X19,6405,0,1,0.0622881356,0.020416025,0.18014245093904044
X19,8500,0,1,0.20735408016666668,0.1170937295,0.2429117366947277
X19,8505,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X19,8506,0,1,0.17678570506666666,0.1449988405,0.21522627685902201
X20,20,0.003014609,1,0.21775295666666666,0.158077607,0.23470134626840944
X20,6100,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X20,6105,0,1,0.2703740157,0.14271653550000002,0.2774050680264331
X20,6110,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X20,6115,0,1,0.11224844643333333,0.0015987425,0.23977588731917915
X20,6120,0,1,0.1140883761,0,0.2146003022273621
X20,6125,0,1,0.1140883761,0,0.2146003022273621
X20,6130,0,1,0.053968254,0,0.18505560142772604
X20,6135,0,1,0.053968254,0,0.18505560142772604
X20,6140,0,1,0.0762318841,0.039130435,0.17805683036906422
X20,6145,0,1,0.0762318841,0.039130435,0.17805683036906422
X20,6200,0,1,0.10992369233333334,0,0.24197356417526583
X20,6205,0,1,0.10992369233333334,0,0.24197356417526583
X20,6265,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X20,6270,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X20,6275,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X20,6280,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X20,6325,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X20,8500,0,1,0.20735408016666668,0.1170937295,0.2429117366947277
X20,8505,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X20,8506,0,1,0.17678570506666666,0.1449988405,0.21522627685902201
X21,21,0.003014609,1,0.21775295666666666,0.158077607,0.23470134626840944
X21,6230,0,1,0.2535146471333333,0.16297950049999999,0.277181901037013
X21,6235,0,1,0.13044619413333333,0.05511811,0.20211343055599681
X21,6240,0,1,0.13044619413333333,0.05511811,0.20211343055599681
X21,6245,0.002141328,1,0.2520342613,0.1718415415,0.2599595941424986
X21,6250,0.002141328,1,0.2520342613,0.1718415415,0.2599595941424986
X21,6255,0,1,0.13830188683333333,0.043396226499999996,0.24117227496561042
X21,6260,0,1,0.13830188683333333,0.043396226499999996,0.24117227496561042
X21,6265,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X21,6270,0,1,0.059068950366666664,0.0174571805,0.18029654228877998
X21,6275,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X21,6280,0,1,0.1949044587,0.10191082800000001,0.26146825188725603
X21,6285,0,1,0.0805063032,0.008513236,0.20027909831188276
X21,6290,0,1,0.0805063032,0.008513236,0.20027909831188276
X21,6350,0,1,0.08169741696666666,1.419245e-4,0.23878677011832158
X21,6355,0,1,0.08169741696666666,1.419245e-4,0.23878677011832158
X21,6570,0,1,0.2949541284,0.140825688,0.2978187461419453
X21,6575,0,1,0.2949541284,0.140825688,0.2978187461419453
X21,7060,0,1,0.2535146471333333,0.16297950049999999,0.277181901037013
X21,7070,0,1,0.12986881993333332,0.0201309145,0.2514812481384167
X21,7075,0,1,0.12986881993333332,0.0201309145,0.2514812481384167
X21,8500,0,1,0.20735408016666668,0.1170937295,0.2429117366947277
X21,8505,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X21,8506,0,1,0.17678570506666666,0.1449988405,0.21522627685902201
X22,2060,0,1,0.20519440366666666,0.13922470450000002,0.23579101517392945
X22,22,0.003014609,1,0.21838061373333334,0.15916363900000002,0.2349727391085991
X22,6285,0,1,0.0805063032,0.008513236,0.20027909831188276
X22,6290,0,1,0.0805063032,0.008513236,0.20027909831188276
X22,6300,0,1,0.06860304286666667,0,0.2399937712900556
X22,6305,0,1,0.06860304286666667,0,0.2399937712900556
X22,6420,0,1,0.04187853106666667,0,0.18690805622224288
X22,6425,0,1,0.04187853106666667,0,0.18690805622224288
X22,6430,0,1,0.12591615953333332,9.12779e-4,0.21526388887433534
X22,6435,0,1,0.12591615953333332,9.12779e-4,0.21526388887433534
X22,6440,0,1,0.12591615953333332,9.12779e-4,0.21526388887433534
X22,7090,0,1,0.12586238696666666,0,0.2528286984553255
X22,7095,0,1,0.12586238696666666,0,0.2528286984553255
X22,8500,0,1,0.20735408016666668,0.1170937295,0.2429117366947277
X22,8505,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X22,8506,0,1,0.17678570506666666,0.1449988405,0.21522627685902201
X24,2060,0,1,0.19351296583333333,0.139050121,0.2068811040257009
X24,24,0.00506162,1,0.20857174293333333,0.170472051,0.2087338045220538
X24,4020,0,1,0.19330666666666668,0.0048666665,0.3061861991209964
X24,4025,0,1,0.19330666666666668,0.0048666665,0.3061861991209964
X24,4040,0,1,0.03470319633333333,0,0.18237205515583008
X24,4045,0,1,0.23333333336666667,0.142857143,0.29176676336165064
X24,8020,0,1,0.03470319633333333,0,0.18237205515583008
X24,8025,0,1,0.23333333336666667,0.142857143,0.29176676336165064
X24,8030,0,1,0.1361453396,0.054502369499999995,0.22489309928294088
X24,8035,0,1,0.1361453396,0.054502369499999995,0.22489309928294088
X24,8500,0,1,0.19298588006666667,0.126742766,0.21572989755958055
X24,8505,0,1,0.19279040123333333,0.12548140400000002,0.21493150284418083
X24,8506,0,1,0.1833695532,0.1581618615,0.20517070732884815
X24,9210,0.003096847,1,0.30595908406666666,0.18552927949999998,0.30254957358778106
X24,9215,0.003096847,1,0.30595908406666666,0.18552927949999998,0.30254957358778106
X25,25,0.004827795,1,0.20471775963333333,0.1678174515,0.2073441149274275
X25,6000,0.00169348,1,0.16748518213333333,0.10795935649999999,0.20972108921369853
X25,6005,0.00169348,1,0.16748518213333333,0.10795935649999999,0.20972108921369853
X25,6010,0.003883495,1,0.35598705503333333,0.32718446599999995,0.27348984848628943
X25,6015,0.003883495,1,0.35598705503333333,0.32718446599999995,0.27348984848628943
X25,6020,0,1,0.25352162429999997,0.0038702545,0.3311746343608216
X25,6025,0,1,0.25352162429999997,0.0038702545,0.3311746343608216
X25,6030,0,1,0.0988848859,1.28667e-4,0.2351644753453
X25,6031,0,1,0.0988848859,1.28667e-4,0.2351644753453
X25,6033,0,1,0.0931072382,0,0.22938849483898707
X25,6035,0,1,0.0967341812,0,0.2294730999141318
X25,6040,0,1,0.2511774746666667,0.003806589,0.3294893064055884
X25,6046,0,1,0.2511774746666667,0.003806589,0.3294893064055884
X25,6060,0.004928114,1,0.20695130853333332,0.1698374145,0.20882769165686046
X25,7100,0,1,0.0967341812,0,0.2294730999141318
X25,8506,0,1,0.1833695532,0.1581618615,0.20517070732884815
X31,31,0.003014609,1,0.21775295666666666,0.158077607,0.23470134626840944
X31,6770,0,1,0.061800212066666665,0,0.19959803276179092
X31,6775,0,1,0.061800212066666665,0,0.19959803276179092
X31,6790,0,1,0.061800212066666665,0,0.19959803276179092
X31,6795,0,1,0.061800212066666665,0,0.19959803276179092
X31,6810,0,1,0.0659299246,0.004634345,0.1994026876733681
X31,6815,0,1,0.20506172833333333,0.137037037,0.2387321321150589
X31,8500,0,1,0.20735408016666668,0.1170937295,0.2429117366947277
X31,8505,0,1,0.2058295329,0.11458607100000001,0.24099363246450636
X31,8506,0,1,0.17678570506666666,0.1449988405,0.21522627685902201
